user_id,item_id,rating,timestamp
562,443,5,879196604
576,9,3,887168978
577,471,3,880471640
579,1,4,880951740
574,300,4,891279012
577,229,4,880475094
555,168,4,879975419
576,280,5,886985003
562,56,1,879195156
562,636,2,879195007
577,284,4,880470732
572,300,4,879449243
575,215,3,878148229
584,114,4,885778238
576,825,4,886986304
588,31,3,890015722
587,995,3,892871503
568,606,5,877907720
568,835,4,877907157
574,315,3,891278860
577,996,3,880475094
586,628,3,884064631
576,435,4,886986400
585,1488,4,891283921
587,748,1,892871438
562,462,5,879196074
588,721,5,890023722
577,204,4,880474338
586,665,3,884061256
587,327,3,892871252
582,948,1,882960718
584,258,4,885774483
591,787,3,891031500
585,1347,2,891285658
579,845,4,880952549
587,881,2,892871641
588,365,5,890028385
588,204,5,890015323
591,1017,3,891039616
581,50,4,879641698
587,875,1,892871462
587,349,3,892871400
574,321,1,891279285
575,322,3,878146541
555,87,4,879975505
592,418,4,882956551
580,825,4,884125339
592,124,5,882607986
592,50,5,882607872
586,148,3,884065745
592,204,5,882956158
582,246,4,882961082
586,39,4,884061623
555,480,4,879975474
579,83,5,880952360
577,662,4,880474933
592,297,5,882607844
590,285,5,879438735
574,258,5,891278916
585,582,3,891282894
577,117,4,880471359
579,528,4,880951708
592,79,4,882955583
586,756,1,884067105
593,633,5,875671081
592,969,4,882956718
586,559,5,884060807
583,83,4,879384338
568,269,4,877906547
576,181,4,887081041
596,678,3,883538965
570,303,5,881262256
592,20,4,882608315
599,682,4,880951079
568,194,3,877907671
587,879,1,892871536
593,392,3,886193788
577,684,4,880474394
576,70,5,886986361
593,79,4,875671674
589,313,5,883352434
594,237,3,874784095
568,923,3,877906995
577,95,5,880474747
597,328,4,875339132
577,188,3,880474715
578,294,3,888957453
586,203,3,884059027
589,268,1,883352463
601,324,4,876346383
602,678,4,888638193
575,506,2,878148087
600,92,3,888451665
590,221,4,879439645
592,433,5,882956761
577,15,3,880470350
605,127,5,879366240
603,21,3,891956715
579,179,3,880952038
592,323,1,882607690
603,230,4,891955922
577,186,4,880472153
576,381,3,886986445
580,7,3,884124844
592,336,1,882607476
568,59,1,877906995
595,1264,2,887588203
588,207,2,890025076
586,281,3,884062405
568,954,2,877907671
592,324,4,882607387
606,123,3,878143605
592,202,5,882956803
562,114,1,879195156
597,824,3,875342875
600,229,3,888451840
600,1110,3,888452564
600,127,5,888451492
562,191,5,879196176
577,393,4,880475363
579,1074,3,880952579
575,181,2,878148295
577,38,2,880475453
591,1099,5,891031203
592,1623,4,882955794
583,663,4,879384338
568,185,4,877907834
592,1315,2,882609056
582,250,3,882961000
592,742,4,882608357
592,988,1,882607745
575,507,2,878148137
586,219,3,884060705
593,211,4,875671198
603,174,3,891956927
577,720,4,880475043
608,1172,5,880404636
592,288,5,882607528
579,168,4,880952142
555,1054,3,879964335
601,1073,2,876350230
577,218,3,880475269
555,546,3,879962551
601,181,5,876347039
607,487,4,883879213
606,418,5,880923745
588,432,4,890027113
580,148,4,884125773
586,187,4,884058566
592,1134,5,882608234
601,834,1,876348381
589,288,5,883352536
577,110,4,880475581
603,173,4,891956877
568,1050,4,877907835
585,113,3,891283681
589,340,1,883352494
608,490,4,880405824
577,1291,3,880471954
605,527,4,879424429
592,1009,3,882608662
588,227,3,890028385
603,11,5,891956927
579,89,3,880952102
606,15,5,878143729
585,463,5,891284816
589,289,3,883352679
581,919,5,879643155
588,71,4,890024195
600,1228,2,888452490
592,408,5,882607955
593,210,2,875673181
601,419,4,876351263
606,241,3,880926246
587,347,3,892871223
593,5,4,875671525
588,1047,3,890031141
606,186,5,880925290
608,1115,4,880406168
595,1067,4,886922069
592,455,4,882608402
568,475,4,877907782
588,144,3,890024564
607,529,4,883880027
588,40,4,890026154
608,661,3,880405927
605,531,4,879424583
601,699,3,876350812
610,315,4,888702764
607,107,4,883879756
611,300,5,891636244
588,783,4,890027297
594,744,3,874783298
617,637,3,883789507
606,147,5,880922503
592,1187,4,882608358
593,655,3,886193724
592,201,5,882955794
583,209,4,879384404
582,750,5,882960418
608,150,3,880406299
594,222,4,874783052
618,204,3,891307098
586,1407,3,884063080
562,720,4,879196483
614,126,4,879464183
577,380,3,880474991
595,1134,5,886921392
586,174,4,884058898
609,538,1,886895795
600,227,4,888451977
618,100,4,891308063
615,735,3,879448823
606,473,4,878149415
610,11,4,888703432
618,781,3,891309382
592,184,5,882956419
597,300,5,875338983
587,261,3,892871438
615,517,5,879449068
600,554,4,888451977
577,443,4,880475269
618,185,5,891308260
599,282,5,880951657
617,7,3,883789425
568,525,3,877907720
616,269,4,891224517
608,65,5,880406469
603,172,5,891956139
618,367,3,891309319
615,170,4,879447895
593,172,4,886193379
608,1153,3,880406623
599,873,5,880951174
589,995,1,883352562
583,265,4,879384522
620,71,5,889988005
591,191,5,891031116
593,1035,3,875671464
618,93,3,891307019
614,287,3,879464456
589,327,3,883352535
577,40,4,880475435
586,928,3,884065665
610,751,4,888702795
585,1512,5,891283000
568,491,2,877907126
592,806,4,882956586
611,350,4,891636399
600,2,3,888451908
588,260,2,890014930
592,255,4,882608915
583,12,5,879384522
571,496,3,883354886
618,182,4,891307289
568,474,5,877907834
618,28,4,891309887
562,480,4,879195126
608,9,4,880403765
580,358,4,884124472
619,245,4,885953743
579,98,4,880951804
617,860,1,883789635
614,25,1,879464376
592,847,5,882607986
580,300,3,884124103
613,258,5,891227365
622,2,4,882671363
621,404,3,874965496
577,365,5,880475504
601,623,1,876349897
588,99,5,890023646
575,173,5,878148258
601,176,2,876348820
621,567,3,874964991
586,926,4,884067199
619,117,5,885953778
622,845,3,882590291
592,157,5,882955918
606,1110,2,880927358
602,304,4,888638022
615,1021,5,879448119
615,886,2,879447692
608,69,4,880405702
620,444,3,889987682
582,258,4,882960396
585,863,5,891283000
574,272,4,891278860
586,28,3,884066087
